id,user_id,item_key,value,type,updated_at
1085,6b479262-4fb4-4210-be9e-4a63c8f31e62,watched_226362,"{""id"":226362,""title"":""The Eternaut"",""poster_path"":""/ucI5KroZLP0KyJqQnAdOpzhVvBs.jpg"",""media_type"":""tv"",""release_date"":""2025-04-30"",""vote_average"":7.716,""user_rating"":8,""genres"":[],""genre_ids"":[18,10759,10765],""overview"":"""",""cast"":[],""crew"":[]}",watched,2025-05-12 17:00:07.581+00
1084,6b479262-4fb4-4210-be9e-4a63c8f31e62,watched_1241436,"{""id"":1241436,""title"":""Warfare"",""poster_path"":""/srj9rYrjefyWqkLc6l2xjTGeBGO.jpg"",""media_type"":""movie"",""release_date"":""2025-04-10"",""vote_average"":8,""user_rating"":7.5,""genres"":[],""genre_ids"":[10752,28],""overview"":"""",""cast"":[],""crew"":[]}",watched,2025-05-12 16:59:54.748+00
745,6b479262-4fb4-4210-be9e-4a63c8f31e62,watchlist_261579,"{""id"":261579,""title"":""Secret Level"",""poster_path"":""/tXMi6tb1owDAALnFFqnWjjd26if.jpg"",""media_type"":""tv"",""release_date"":""2024-12-10"",""vote_average"":7.461,""genre_ids"":[16,10765,10759],""genres"":[],""overview"":""Adult animated series of original short stories which are set within the worlds of beloved video games. Each episode serves as a gateway to a new adventure, unlocking exciting worlds from beloved gaming classics and highly anticipated new titles."",""cast"":[],""crew"":[],""position"":59,""isPinned"":false,""saved_at"":""2025-05-10T20:03:17.925Z""}",watchlist,2025-05-11 20:57:50.24+00
865,6b479262-4fb4-4210-be9e-4a63c8f31e62,watchlist_42009,"{""id"":42009,""title"":""Black Mirror"",""poster_path"":""/seN6rRfN0I6n8iDXjlSMk1QjNcq.jpg"",""media_type"":""tv"",""release_date"":""2011-12-04"",""vote_average"":8.3,""genre_ids"":[10765,18,9648],""genres"":[],""overview"":""Twisted tales run wild in this mind-bending anthology series that reveals humanity's worst traits, greatest innovations and more."",""cast"":[],""crew"":[],""position"":46,""isPinned"":false,""saved_at"":""2025-05-10T20:03:17.925Z""}",watchlist,2025-05-11 20:57:49.171+00
