id,user_id,item_key,value,type,updated_at
1131,ab3049dd-51c3-439f-b656-a68defff3596,watchlist_241554,"{""id"":241554,""title"":""Murderbot"",""poster_path"":""/okL4xDzMxlvbpKYnyEnmHSOfRHw.jpg"",""media_type"":""tv"",""release_date"":""2025-05-15"",""vote_average"":7.733,""genres"":[],""genre_ids"":[35,18,10765],""overview"":"""",""cast"":[],""crew"":[],""position"":1,""added_at"":1747489842246}",watchlist,2025-05-17 13:50:47.814+00
1132,ab3049dd-51c3-439f-b656-a68defff3596,watchlist_950387,"{""id"":950387,""title"":""A Minecraft Movie"",""poster_path"":""/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg"",""media_type"":""movie"",""release_date"":""2025-03-31"",""vote_average"":6.5,""genres"":[],""genre_ids"":[10751,35,12,14],""overview"":"""",""cast"":[],""crew"":[],""position"":0,""added_at"":1747489848085}",watchlist,2025-05-17 13:50:47.814+00
